Participant_ID,T9,T10,T11,T12,Video Checked?
1,4B-R (4210),4A-L (4115),5B-L (5214),5A-R (5119),Yes
2,4B-R (4210),4A-L (4115),5A-R (5119),5B-L (5214),Yes
3,4A-L (4115),4B-R (4210),5B-L (5214),5A-R (5119),Yes
4,4A-L (4115),4B-R (4210),5A-R (5119),5B-L (5214),Yes
5,5B-L (5214),5A-R (5119),4B-R (4210),4A-L (4115),Yes
6,5A-R (5119),5B-L (5214),4B-R (4210),4A-L (4115),Yes
7,5B-L (5214),5A-R (5119),4A-L (4115),4B-R (4210),Yes
8,5A-R (5119),5B-L (5214),4A-L (4115),4B-R (4210),Yes
9,4B-R (4210),4A-L (4115),5B-L (5214),5A-R (5119),Yes
10,4B-R (4210),4A-L (4115),5A-R (5119),5B-L (5214),Yes
11,4B-R (4210),4A-L (4115),5A-R (5119),5A-R (5119),NA
12,4A-L (4115),4B-R (4210),5B-L (5214),5B-L (5214),Yes
13,4A-L (4115),4B-R (4210),5A-R (5119),5B-L (5214),NA
14,5B-L (5214),5A-R (5119),4B-R (4210),4A-L (4115),Yes
15,5A-R (5119),5B-L (5214),4B-R (4210),4A-L (4115),Yes
16,5B-L (5214),5A-R (5119),4A-L (4115),4B-R (4210),NA
17,5A-R (5119),5B-L (5214),4A-L (4115),4B-R (4210),Yes
18,4B-R (4210),4A-L (4115),5B-L (5214),5A-R (5119),Yes
19,4B-R (4210),4A-L (4115),5A-R (5119),5B-L (5214),Yes
20,4A-L (4115),4B-R (4210),5B-L (5214),5A-R (5119),NA
21,4A-L (4115),4B-R (4210),5A-R (5119),5B-L (5214),Yes
22,4A-L (4115),4B-R (4210),5A-R (5119),5B-L (5214),Yes
23,5A-R (5119),5B-L (5214),4B-R (4210),4A-L (4115),Yes
24,5B-L (5214),5A-R (5119),4A-L (4115),4B-R (4210),Yes
25,5A-R (5119),5B-L (5214),4A-L (4115),4B-R (4210),Yes
26,5B-L (5214),5A-R (5119),4A-L (4115),4B-R (4210),Yes
27,4B-R (4210),4A-L (4115),5A-R (5119),5B-L (5214),NA
28,4A-L (4115),4B-R (4210),5B-L (5214),5A-R (5119),Yes
29,4A-L (4115),4B-R (4210),5A-R (5119),5B-L (5214),Yes
30,5B-L (5214),5A-R (5119),4B-R (4210),4A-L (4115),NA
31,5A-R (5119),5B-L (5214),4B-R (4210),4A-L (4115),Yes
32,5B-L (5214),5A-R (5119),4A-L (4115),4B-R (4210),Yes
33,5A-R (5119),5B-L (5214),4A-L (4115),4B-R (4210),Yes
34,4B-R (4210),4A-L (4115),5B-L (5214),5A-R (5119),Yes
35,4B-R (4210),4A-L (4115),5A-R (5119),5B-L (5214),Yes
36,4A-L (4115),4B-R (4210),5B-L (5214),5A-R (5119),Yes
37,4A-L (4115),4B-R (4210),5A-R (5119),5B-L (5214),Yes
38,5B-L (5214),5A-R (5119),4B-R (4210),4A-L (4115),Yes
39,5A-R (5119),5B-L (5214),4B-R (4210),4A-L (4115),Yes
40,5B-L (5214),5A-R (5119),4A-L (4115),4B-R (4210),Yes
41,5A-R (5119),5B-L (5214),4A-L (4115),4B-R (4210),Yes
42,4B-R (4210),4A-L (4115),5B-L (5214),5A-R (5119),Yes
43,4B-R (4210),4A-L (4115),5A-R (5119),5B-L (5214),Yes
44,4A-L (4115),4B-R (4210),5B-L (5214),5A-R (5119),Yes
45,4A-L (4115),4B-R (4210),5A-R (5119),5B-L (5214),Yes
46,5B-L (5214),5A-R (5119),4B-R (4210),4A-L (4115),Yes
47,5B-L (5214),5A-R (5119),4B-R (4210),4A-L (4115),Yes
48,5B-L (5214),5A-R (5119),4A-L (4115),4B-R (4210),Yes
49,5A-R (5119),5B-L (5214),4A-L (4115),4B-R (4210),NA
50,4B-R (4210),4A-L (4115),5B-L (5214),5A-R (5119),NA
51,4B-R (4210),4A-L (4115),5A-R (5119),5B-L (5214),Yes
52,4A-L (4115),4B-R (4210),5B-L (5214),5A-R (5119),NA
53,4A-L (4115),4B-R (4210),5A-R (5119),5B-L (5214),Yes
54,5A-R (5119),5B-L (5214),4B-R (4210),4A-L (4115),Yes
55,5B-L (5214),5A-R (5119),4B-R (4210),4A-L (4115),Yes
56,5B-L (5214),5A-R (5119),4A-L (4115),4B-R (4210),Yes
57,5A-R (5119),5B-L (5214),4A-L (4115),4B-R (4210),Yes
58,4B-R (4210),4A-L (4115),5B-L (5214),5A-R (5119),Yes
59,4B-R (4210),4A-L (4115),5A-R (5119),5B-L (5214),Yes
60,4A-L (4115),4B-R (4210),5B-L (5214),5A-R (5119),Yes
61,4A-L (4115),4B-R (4210),5A-R (5119),5B-L (5214),Yes
62,5A-R (5119),5B-L (5214),4A-L (4115),4B-R (4210),Yes
63,5B-L (5214),5A-R (5119),4B-R (4210),4A-L (4115),Yes
64,5B-L (5214),5A-R (5119),4A-L (4115),4B-R (4210),Yes
65,5A-R (5119),5B-L (5214),4A-L (4115),4B-R (4210),Yes
66,4B-R (4210),4A-L (4115),5B-L (5214),5A-R (5119),Yes
67,4B-R (4210),4A-L (4115),5A-R (5119),5B-L (5214),Yes
68,4A-L (4115),4B-R (4210),5B-L (5214),5A-R (5119),Yes
69,4A-L (4115),4B-R (4210),5A-R (5119),5B-L (5214),Yes
70,5A-R (5119),5B-L (5214),4B-R (4210),4A-L (4115),Yes
71,5A-R (5119),5B-L (5214),4A-L (4115),4B-R (4210),Yes
72,5B-L (5214),5A-R (5119),4A-L (4115),4B-R (4210),Yes